script,dataset,property,defense,defend_scope,defend_side,adaptive_noise,curriculum,warmup_epochs,norm_threshold,sigma_low,sigma_high,d_para,out_para,seed,epoch,victim_norm_raw,victim_norm_obs,victim_norm_raw_med,sigma_mean,sigma_frac_high
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,6,2.782490,2.782490,2.772851,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,7,3.100672,3.100672,3.093341,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,8,3.271069,3.271069,3.260459,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,9,3.378759,3.378759,3.369840,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,10,3.457241,3.457241,3.448693,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,11,3.519169,3.519169,3.508742,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,12,3.567807,3.567807,3.560545,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,13,3.604683,3.604683,3.598238,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,14,3.631037,3.631037,3.625023,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,15,3.652199,3.652199,3.646324,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,16,3.673143,3.673143,3.666118,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,17,3.691911,3.691911,3.682468,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,18,3.707524,3.707524,3.697317,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,4,19,3.721021,3.721021,3.709385,0.000000,0.0000
